,f_1,f_2,f_3,f_4
3263,313.0,1.0,512.05,0.5165109202542357
3264,402.0,4.0,835.45,0.6377410468319559
3265,172.0,0.0,335.7,0.4192279299231171
3266,228.0,0.0,336.05,0.4192279299231171
3267,223.0,1.0,328.3,0.3978285529087668
3268,228.0,0.0,336.05,0.4192279299231171
3269,402.0,4.0,835.45,0.6377410468319559
3270,213.0,0.0,252.3,0.34227299735321126
3271,228.0,0.0,336.05,0.4192279299231171
3272,213.0,0.0,252.3,0.34227299735321126
3273,284.0,0.0,336.4,0.34227299735321126
3274,402.0,4.0,835.45,0.6377410468319559
3275,213.0,0.0,252.3,0.34227299735321126
3276,228.0,0.0,336.05,0.4192279299231171
3277,213.0,0.0,252.3,0.34227299735321126
3278,284.0,0.0,336.4,0.34227299735321126
3279,402.0,4.0,835.45,0.6377410468319559
3280,401.0,3.0,754.15,0.6186193485658726
3281,401.0,3.0,754.15,0.6186193485658726
3282,402.0,4.0,835.45,0.6377410468319559
3283,401.0,3.0,754.15,0.6186193485658726
3284,402.0,4.0,835.45,0.6377410468319559
3285,394.0,2.0,672.15,0.5720664758097913
3286,394.0,2.0,672.15,0.5720664758097913
3287,402.0,4.0,835.45,0.6377410468319559
3288,394.0,2.0,672.15,0.5720664758097913
3289,402.0,4.0,835.45,0.6377410468319559
3290,384.0,1.0,596.15,0.5165109202542357
3291,384.0,1.0,596.15,0.5165109202542357
3292,188.0,3.0,501.85,0.6186193485658726
3293,384.0,1.0,596.15,0.5165109202542357
3294,402.0,4.0,835.45,0.6377410468319559
3295,329.0,0.0,587.65,0.4145735429157889
3296,385.0,0.0,588.0,0.4192279299231171
3297,242.0,1.0,427.95,0.5165109202542357
3298,400.0,0.0,671.75,0.4145735429157889
3299,402.0,4.0,835.45,0.6377410468319559
3300,370.0,0.0,504.25,0.4192279299231171
3301,385.0,0.0,588.0,0.4192279299231171
3302,284.0,0.0,336.4,0.34227299735321126
3303,370.0,0.0,504.25,0.4192279299231171
3304,402.0,4.0,835.45,0.6377410468319559
3305,370.0,0.0,504.25,0.4192279299231171
3306,385.0,0.0,588.0,0.4192279299231171
3307,284.0,0.0,336.4,0.34227299735321126
3308,370.0,0.0,504.25,0.4192279299231171
3309,402.0,4.0,835.45,0.6377410468319559
3310,401.0,3.0,754.15,0.6186193485658726
3311,401.0,3.0,754.15,0.6186193485658726
3312,402.0,4.0,835.45,0.6377410468319559
3313,401.0,3.0,754.15,0.6186193485658726
3314,402.0,4.0,835.45,0.6377410468319559
3315,394.0,2.0,672.15,0.5720664758097913
3316,394.0,2.0,672.15,0.5720664758097913
3317,402.0,4.0,835.45,0.6377410468319559
3318,394.0,2.0,672.15,0.5720664758097913
3319,402.0,4.0,835.45,0.6377410468319559
3320,384.0,1.0,596.15,0.5165109202542357
3321,424.0,2.0,839.65,0.5720664758097913
3322,402.0,4.0,835.45,0.6377410468319559
3323,384.0,1.0,596.15,0.5165109202542357
3324,402.0,4.0,835.45,0.6377410468319559
3325,400.0,0.0,671.75,0.4145735429157889
3326,414.0,1.0,763.65,0.5165109202542357
3327,259.0,3.0,585.95,0.6186193485658726
3328,400.0,0.0,671.75,0.4145735429157889
3329,402.0,4.0,835.45,0.6377410468319559
3330,370.0,0.0,504.25,0.4192279299231171
3331,434.0,4.0,1009.4,0.6186193485658726
3332,309.0,1.0,496.15,0.47478348547867266
3333,370.0,0.0,504.25,0.4192279299231171
3334,402.0,4.0,835.45,0.6377410468319559
3335,370.0,0.0,504.25,0.4192279299231171
3336,434.0,4.0,1009.4,0.6186193485658726
3337,355.0,0.0,420.5,0.34227299735321126
3338,370.0,0.0,504.25,0.4192279299231171
3339,402.0,4.0,835.45,0.6377410468319559
3340,401.0,3.0,754.15,0.6186193485658726
3341,436.0,5.0,1094.6,0.6377410468319559
3342,402.0,4.0,835.45,0.6377410468319559
3343,401.0,3.0,754.15,0.6186193485658726
